problem_id,problem_text,skill_name,choiceA,choiceB,choiceC,choiceD,answer,level
49,关于 for循环和 while循环的说法哪个正确？,循环语句,while循环先判断后执行，for循环先执行后判断。,while循环判断条件一般是程序结果，for循环的判断条件一般是非程序结果,两种循环任何时候都不可以替换,两种循环结构中都必须有循环体，循环体不能为空,B,0
50,关于对象成员占用内存的说法哪个正确？,对象成员,同一个类的对象共用同一段内存,同一个类的对象使用不同的内存段，但静态成员共享相同的内存空间,对象的方法不占用内存,以上都不对,B,0
51,关于继承的说法正确的是：,继承,子类将继承父类所有的属性和方法。,子类将继承父类的非私有属性和方法。,子类只继承父类public方法和属性,子类只继承父类的方法，而不继承属性,B,0
52,覆盖与重载的关系是：,"覆盖,重载",覆盖只有发生在父类与子类之间，而重载可以发生在同一个类中,覆盖方法可以不同名，而重载方法必须同名,final修饰的方法可以被覆盖，但不能被重载,覆盖与重载是同一回事,A,0
53,下面哪一个import命令可以为我们提供编写网络应用程序的类,网络应用程序,import java.sql.;,import java.util.;,import java.io.;,import java.net.;,D,0
54,如果容器组件p的布局是BorderLayout，则在p的下边中添加一个按钮b，应该使用的语句是,容器,p.add(b);,"p.add(b,'North');","p.add(b,'South');","b.add(p,'North');",C,0
55,Frame对象默认的布局管理器是,"Frame, 布局管理器",FlowLayout,BorderLayout,CardLayout,都不是,B,0
56,如果需要从文件中读取数据，则可以在程序中创建哪一个类的对象,文件操作,FileInputStream,FileOutputStream,DataOutputStream,FileWriter,A,0
57,"下面的程序创建了一个文件输出流对象，用来向文件test.txt中输出数据，假设程序当前目录下不存在文件test.txt，编译下面的程序Test.java后，将该程序运行3次，则文件test.txt 的内容是
```java
import java.io.*;
public class Test {
public static void main(String args[]) {
try {
String s=“ABCDE”;
byte b[]=s.getBytes();
FileOutputStream file=new FileOutputStream(“test.txt”,true);
file.write(b);
file.close();
}
catch(IOException e) {
System.out.println(e.toString());
}
}
}
```
",文件操作,ABCDE,ABCDE,ABCABC,ABCDE ABCDE ABCDE,D,0
58,编译Java Application 源程序文件将产生相应的字节码文件，这些字节码文件的扩展名为,字节码,.java,.class,.html,.exe,B,0
59,"设 x = 1 , y = 2 , z = 3，则表达式 y＋＝z－－/＋＋x 的值是",运算符,3,3. 5,4,5,A,0
60,不允许作为类及类成员的访问控制符的是,访问控制,public,private,static,protected,C,0
61,为AB类的一个无形式参数无返回值的方法method书写方法头，使得使用类名AB作为前缀就可以调用它，该方法头的形式为,方法头,static void method(),public void method(),final void method(),abstract void method(),A,0
62,关于选择结构下列哪个说法正确？,分支语句,if语句和 else语句必须成对出现,if语句可以没有else语句对应,switch结构中每个case语句中必须用break语句,switch结构中必须有default语句,B,0
63,while循环和 do…while循环的区别是：,循环语句,没有区别，这两个结构任何情况下效果一样,while循环比 do…while循环执行效率高,while循环是先循环后判断，所以循环体至少被执行一次,do…while循环是先循环后判断，所以循环体至少被执行一次,D,0
64,关于 for循环和 while循环的说法哪个正确？,循环语句,while循环先判断后执行，for循环先执行后判断。,while循环判断条件一般是程序结果，for循环的判断条件一般是非程序结果,两种循环任何时候都不可以替换,两种循环结构中都必须有循环体，循环体不能为空,B,0
65,下列修饰符中与访问控制无关的是,"访问控制, 修饰符",private,public,protected,final,D,0
66,void的含义：,void,方法没有返回值,方法体为空,没有意义,定义方法时必须使用,A,0
67,return语句：,return,只能让方法返回数值,方法都必须含有,方法中可以有多句return,不能用来返回对象,C,0
68,关于对象成员占用内存的说法哪个正确？,对象成员,同一个类的对象共用同一段内存,同一个类的对象使用不同的内存段，但静态成员共享相同的内存空间,对象的方法不占用内存,以上都不对,B,0
69,下列说法哪个正确？,类与对象,不需要定义类，就能创建对象,对象中必须有属性和方法,属性可以是简单变量，也可以是一个对象,属性必须是简单变量,C,0
70,下列说法哪个正确？,java源文件,一个程序可以包含多个源文件,一个源文件中只能有一个类,一个源文件中可以有多个公共类,一个源文件只能供一个程序使用,A,0
71,关于方法main（）的说法哪个正确？,入口方法,方法main（）只能放在公共类中,main()的头定义可以根据情况任意更改,一个类中可以没有main()方法,所有对象的创建都必须放在main()方法中,C,0
72,构造函数何时被调用？,构造函数,创建对象时,类定义时,使用对象的方法时,使用对象的属性时,A,0
73,抽象方法：,抽象类和抽象方法,可以有方法体,可以出现在非抽象类中,是没有方法体的方法,抽象类中的方法都是抽象方法,C,0
74,关于继承的说法正确的是：,继承,子类将继承父类所有的属性和方法。,子类将继承父类的非私有属性和方法。,子类只继承父类public方法和属性,子类只继承父类的方法，而不继承属性,B,0
75,关于构造函数的说法哪个正确？,构造函数,一个类只能有一个构造函数,一个类可以有多个不同名的构造函数,构造函数与类同名,构造函数必须自己定义，不能使用父类的构造函数,C,0
76,this和super：,super,都可以用在main()方法中,都是指一个内存地址,不能用在main()方法中,意义相同,C,0
77,关于super的说法正确的是：,super,是指当前对象的内存地址,是指当前对象的父类对象的内存地址,是指当前对象的父类,可以用在main()方法中,B,0
78,覆盖与重载的关系是,"覆盖,重载",覆盖只有发生在父类与子类之间，而重载可以发生在同一个类中,覆盖方法可以不同名，而重载方法必须同名,final修饰的方法可以被覆盖，但不能被重载,覆盖与重载是同一回事,A,0
79,关于接口哪个正确？,接口与实现类,实现一个接口必须实现接口的所有方法,一个类只能实现一个接口,接口间不能有继承关系,接口和抽象类是同一回事,A,0
80,异常包含下列哪些内容？,异常处理,程序执行过程中遇到的事先没有预料到的情况,程序中的语法错误,程序的编译错误,以上都是,A,0
81,对于已经被定义过可能抛出异常的语句，在编程时：,异常处理,必须使用try／catch语句处理异常，或用throws将其抛出,如果程序错误，必须使用 try／catch语句处理异常,可以置之不理,只能使用try／catch语句处理,A,0
82,字符流与字节流的区别在于,"字符流, 字节流",前者带有缓冲，后者没有,前者是块读写，后者是字节读写,二者没有区别，可以互换使用,每次读写的字节数不同,D,0
84,ArrayList list = new ArrayList(20);语句中的 list 集合大小扩充了几次,,0,1,2,3,A,1
85,如果去掉了 main 方法的 static 修饰符会怎样,static,程序无法翻译,程序能正常编译，运行时或抛出NoSuchMethodError异常?,程序能正常编译，正常运行?,程序能正常编译，正常运行一会会立刻退出,B,1
86,启动 java 程序进程时，输入一下哪个参数可以实现年轻代的堆大小为 50M,"进程,堆",#NAME?,#NAME?,#NAME?,#NAME?,C,1
87,下面哪些是 Thread 类的方法,Thread,start(),exit()?,getPriority(),get(),A,1
88,"以下语句输出的结果是什么
```java
System.out.print(Integer.MAX_VALUE*2); 

System.out.print(Integer.MIN_VALUE*2); 
```",整数,"-2,-1","-1,-2","-2,0","-1,-1",C,1
89,log4j 的优先级从高到低的排序为,log4j,error>warn>info>debug?,warn>info>debug>error?,warn >debug>error>info?,?error>warn>debug>info?,A,1
90,下列哪些方法可以不使线程从运行状态进入到阻塞状态,线程,notify?,wait,sleep,yield?,A,1
91,下列关于 Thread 类提供的线程控制的方法中，错误的一项是,Thread,在线程A中执行线程B的join()方法，则线程A等待直到B执行完成,线程A通过调用interrupt()方法来中断其阻塞状态,currentThread()方法返回当前线程的引用?,"若线程A调用方法isAlive（）返回为true,则说明 A正在执行中",A,1
92,设 String s1 =”Topwalk”;String s2 =”Company”; 以 下 方 法 不可 以 得 到 字 符 串“TopwalkCompany” 有：,字符串,s2+s1,?s1.concat(s2),s1.append(s2),StringBuffer buf = new StringBuffer(s1);buf.append(s2),C,1
93,String a = new String(“1”+”2”)最终创建了几个对象,字符串,1,2,3,4,B,1
94,int 类型占用几个字节？,整数,2,4,8,16,C,0
95,下列那一条语句可以实现快速的复制一张数据库表,数据库和SQL,select * into b from a where 1<>1;,creat table b as select * from a where 0=1,insert into b as select * from a where 1<>1;?,insert into b select * from a where 1<>1;?,C,1
96,选出可以查询出所有的表和视图的方法,数据库和SQL,preparedStatement.getMetaData().getTables(***);?,connection.getMetaData().getTables(***);?,result.getMetaData().getTables(***);?,DiverManager.getMeta().getTables(***);?,B,1
97,可以监控到数据库变化的机制有哪个,数据库和SQL,存储过程?,触发器,物化视图,都没有,A,1
98,清空表所有数据的性能最优的语句是哪一个,数据库和SQL,delete from tsuer;?,truncate table tuser;,drop table tuser;?,delete tuser;?,B,1
99,关于 Java 中国特殊符号的用法正确的是,中国特殊符号,"判断一个字符串str中是否含有“.”,可以根据str.indexOf(“.”)是否等于-1判断","判断一个字符串str是否含有“.”,可以根据str.indexOf(“\\.”)是否等于-1判断",根据“.”分隔字符串str的写法可以是str.split(“\\.”)?,都没有,A,1
100,下面哪个是java关键字,关键字,run,low ,import,high,C,0
101,如下那种情况下，Oracle 不会使用 Full Table Scean,数据库和SQL,缺乏索引，特别是在列上使用了函数，如果要利用索引，则需要使用函数索引,当访问的数据占整个表中的大部分数据时,如果时一个表的high water mark 数据块数少于初始化参数DB_FILE_MULTIBLOCK_READ_COUNT?,本次查询可以用到该张表的一个引用，但是该表具有多个索引包含用于过滤的字段,D,1
102,"有如下代码段：
```java
public  static void booleanTest() {
        int a = 1, b =1;
        if (a == b || b<0)
            a++;
        if (a <= 2 &&(!(b<0)))
            b=b<<1;
        System.out.println(a + "","" + b);
}
```
?        则运行结果为：","算术运算符,关系运算符","2,1","2,2","2,3","1,2",B,0
103,?如下赋值语句中，有语法错误的是?,基本类型,float f1 = 1.2;,float f1 = 1.2f;,float f1 = 1;,float f1 = 0xAE;,A,0
104,"有如下类定义：
```java
public class Rectangle {
?
public int width = 3;
?
public int height = 4;
?
public int area() {
?
        return width * height;
?
}
?
}
```
则如下代码输出结果为：
```java
Rectangle rectangle;
?
rectangle.height = 5;
?
System.out.println(rectangle.area());
```",类,15,有编译错误，程序不能运行,12,0,B,0
105,"执行如下代码片段后，i和n的值分别为：
?```java
int i = 10;
?
int n =( i++) % 5;
```",运算符,"11, 1","11, 0","10, 1","10, 0",B,0
106,"?执行如下代码片段后，num的值为：
```java
?int num = 5;
?num = (num % 2) == 0 ? num – 1 : num + 1;
```",三元运算符,1,4,5,6,D,0
107,"有如下代码段：
```java
?if (num >= 0)
?    if (num == 0)
?
?        System.out.println(""first string"");
?
?else 
?
?    System.out.println(""second string"");
?
?System.out.println(""third string"");
```
?
?若num为3，则输出结果为：",选择语句,third string,"second string
third string","first string
third string","first string
second string
third string",B,0
108,?下列变量名称中，不属于有效Java变量命名的是？,变量,$num,_int,6nums,Jiayou,C,0
109,对于Java1.7及之后版本，如下不能用于switch的类型是：,选择语句,String,int,char,double,D,0
110,如下对Java基本类型的描述，错误的是？,基本类型,char占1个字节,int 占4个字节,short 占2个字节,double占8个字节,A,0
111,?如下循环结构中，输出结果与其它三组不一致的一组是,,"```java
for (int i = 0; i < 10; i++)
System.out.println(i);
```","```java
int i = 0;
while (i < 10)
  System.out.println(i++);
```","```java
int i = 0;
for (;i < 10;)
  System.out.println(i++);
```","```java
int i = 0;
while (i++ < 10)
  System.out.println(i);
```",D,0
112,"?swap方法定义如下：
?```java
?public static void swap(int num1, int num2) {
?
?        int temp = num1;
?
?        num1 = num2;
?
?        num2 = temp;
?
? }
?```
?执行如下代码后，
?```java
?       int num1 = 10;
?
?       int num2 = 5;
?
?       int num3 = 20;
?
?       swap(num1, num2);
?
?       swap(num2, num3);
?```
? num1, num2, num3的值分别为：",形式参数,"10, 5, 20","5, 20, 10","5, 10, 20","20, 5, 10",A,0
113,"假设有boolean变量flag1,flag2,则如下表达式中哪个不能代表异或逻辑？(异或逻辑：如果a、b两个值不相同，则异或结果为true。如果a、b两个值相同，异或结果为false。)",运算符,flag1 != flag2,(flag1 == true && flag2 == false) || (flag1 == false && flag2 == true),!flag1 == flag2,(flag1 == true && flag2 == true) || (flag1 == false && flag2 == false),D,0
114,如下关于Java类的说法，错误的是？,类,对象是类的实例化,可以通过对象访问类变量,java文件中只能包含一个类的定义,同一类的不同对象有着相同的类变量,C,0
115,如下赋值语句，有编译错误的是？,赋值语句,byte b = -127;,int i = (byte)512;,byte b = 129;,byte b = -0;,C,0
116,下列关于main方法的描述中，错误的是？,主方法,main方法是Java程序的入口,main方法格式为public static void main(String[] args) { //Your code here },B选项中所描述格式中形参args不能更改，如果将args改为arguments则不能编译通过,main方法可以被重载,C,0
117,Java有“一次编译，到处运行”的说法，此种说法中编译的结果是：,编译运行,机器码,符号表,字节码,中间代码,C,0
118,下列不属于Java基本数据类型的是？,数据类型,short,float,Double,int,C,0
119,如下关于JDK和JRE的说法，错误的是？,"JDK, JRE",JDK全称Java Development Kit，意即Java开发工具包,JRE全程Java Runtime Environment，意即Java运行环境,JRE中包含了JDK,若只需要运行编译好的Java程序，则只有JRE就可以,C,0
120,"在Java中,下面对于构造函数的描述正确的是",构造函数,类必须显式定义构造函数,构造函数的返回类型是void,"构造函数和类有相同的名称,并且不能带任何形参",一个类可以定义多个构造函数,D,0
121,"Assume i and j are member variables with double type in class X. In the following codes, which one is NOT RIGHT constructor?",构造函数,double X(double k ){ i=k; return i; },"X(double m, double n ){ i=m; j=n; }",X( ){i=6;j=8; },X(double k ){ i=k; },A,0
122,"Given:
```java
?class CardBoard {
?
?  Short story = 5;
?
?  CardBoard go(CardBoard cb) {
?
?    cb = null;
?
?    return cb;
?
?  }
?
?  public static void main(String[] args) {
?
?    CardBoard c1 = new CardBoard();
?
?    CardBoard c2 = new CardBoard();
?
?    CardBoard c3 = c1.go(c2);
?
?    c1 = null;
?
?    // do Stuff
?
?  } 
?
?}
```
When // doStuff is reached, how many objects of CardBoard are null?",编译运行,0,1,2,Compilation fails.,C,0
123,"Given the uncompleted code of a class:
```java
class Person {
?
?    String name, department;
?
?    int age;
?
?    public Person(String n){ name = n; }
?
?    public Person(String n, int a){ name = n; age = a; }
?
?    public Person(String n, String d, int a) {
?
?        // doing the same as two arguments version of constructor 
?
?        // including assignment name=n,age=a
?
?        department = d;
?
?   }
?
?}
```
Which expression can be added at the ""doing the same as..."" part of the constructor?",构造函数,"Person(n,a);","this(Person(n,a));","this(n,a);","this(name,age);",C,0
124,"现有 
```java
 public class Parent{
??        public void change (int x){
?
?        }
?
?    }
?
?    public class Child extends Parent{
?
?    ／／覆盖父类change方法
?
?   }
```
下列哪个声明是正确的覆盖了父类的change方法？","继承, 覆盖","public void change(int x, int y){}",public void change (int x){},public void change (String s){},protected void change (int x){},B,0
125,"```java
class Ca{
    int num = 1;
    Ca(int num){
        this.num = num;
        System.out.print(this.num);
    }
}

class Cb extends Ca{
?    int num = 2;
    Cb(int num) {
        this.num = num;
        System.out.print(num);
?     }

    public static void main(String[] args) {
        Ca a = new Cb(5);
    }
} 
```
运行代码，程序输出结果为：",单例模式,51,15,52,编译报错,D,0
126,下面关于继承的叙述正确的是（）,final,Java中一个类可继承于多个类,Java中一个类只能实现一个接口,Java类中只允许单一继承,Java中一个类不能同时继承一个类和实现一个接口,C,0
127,"给定下列程序，请选出正确结果。 
```java
?class Cat  {
?    Cat (int c)  {
?        System.out.print (""cat""+c+"" "");  
?    }
? }
?class SubCat extends Cat  {
?    SubCat (int c){
?        super (5); 
?        System.out.print (""cable"");
?    }
?    SubCat()  {  
?        this (4)；  
?    }
?    public static void main (String  []  args)  {
?        SubCat s= new SubCat();
?    }
?}
```",static和final测验,cable,cable cat5,cat5 cable,cat5,C,0
128,"下列程序的输出是（）。 
```java
class Other{  
?
?   public Other () { 
?
?     System.out.print(""Other!""); 
?
?}  
?
?}  
?
?public class Driver1 extends Other {  
?
?   public static void main( String[] args ) {  
?
?      new Driver1();  
?
?      new Other ();  
?
?  }  
?
?} 
```",常量设计和常量池,Other!Other!Other!,Other!Other!,Other!,编译出错,B,0
129,"请选出以下程序的输出结果 
```java
?class A {
?
? public void func1() {
?
? System.out.println(""A func1 is calling"");
?
? }
?
? public void func2() {
?
? func1();
?
? }
?
?}
?
?
?
?class B extends A {
?
? public void func1() {
?
? System.out.println(""B func1 is calling"");
?
? }
?
? public void func3() {
?
? System.out.println(""B func3 is calling"");
?
? }
?
?}
?
?
?
?class C {
?
? public static void main(String[] args) {
?
?            A a = new B();
?
?            a.func1();
?
?            a.func2();
?
?            a.func3();
?
? } 
?
?}
```",不可变对象和字符串,编译错误,A func1 is calling A func1 is calling B func3 is calling,A func1 is calling B func3 is calling,B func1 is calling B func3 is calling,A,0
130,"请选出正确答案
```java
class Parent {
?
?     String one, two;
?
?     public Parent(String a, String b){
?
?        one = a;
?
?        two = b;
?
?     }
?
?    public void print(){ System.out.println(one); }
?
?}
?
?public class Child extends Parent {
?
?      public Child(String a, String b){
?
?        super(a,b);
?
?      }
?
?      public void print(){ 
?
?           System.out.println(one + "" to "" + two);
?
?      }
?
?      public static void main(String arg[]){
?
?           Parent p = new Parent(""south"", ""north"");           
?
?           Parent t = new Child(""east"", ""west"");
?
?           p.print();
?
?           t.print();
?
?      }
?
?}
```",继承, \"north\"); Parent t = new Child(\"east\", \"west\"); p.print(); t.print(); } }",Cause error during compilation.,south to north east,D,0
132,在 Java 中，package 关键字用于什么目的？,package和import,导入其他类,定义一个类的访问权限,将类组织到命名空间中,定义一个类的继承关系,C,0
133,使用哪一个命令可以将 Java 项目打包成一个 JAR 文件？,jar文件导出和导入,javapack,jar cf,javac -jar,jar pack,B,0
135,下列哪个选项正确描述了 Java 中 private 访问修饰符的作用？,Java访问权限,private 访问修饰符允许类中的成员变量和方法被同一个包中的其他类访问。,private 访问修饰符允许类中的成员变量和方法被同一个类中的其他成员变量和方法访问。,private 访问修饰符允许类中的成员变量和方法被任何类访问。,private 访问修饰符不允许类中的成员变量和方法被同一个类中的其他成员变量和方法访问。,B,0
137,在 Java 中，以下哪种方法可以将字符串 "123" 转换为整数类型 int？,数字相关类,Integer.parse("123"),Integer.valueOf("123"),Integer.parseInt("123"),Integer.convert("123"),C,0
138,在 Java 中，以下哪个类是用于创建和操作不可变字符串的类？,字符串相关类,StringBuilder,StringBuffer,String,CharSequence,C,0
139,以下哪一个类是 Java 8 引入的用于处理日期和时间的新 API 的类？,时间相关类,Date,Calendar,LocalDateTime,SimpleDateFormat,C,0
140,在 Java 中，以下哪个类用于格式化和解析日期？,格式化相关类,SimpleDateFormat,DateTimeFormatter,DateFormat,以上皆是,D,0
142,"?给出如下代码段:
?try?{?int?x?=?Integer.parseInt(""two"");?}
?下列哪个可以作为catch的异常？",Java异常分类,ClassCastException,IllegalStateException,NumberFormatException,ExceptionInInitializerError,C,0
143,"?class?Plane?{
?    static?String?s?=?""-"";
?    public?static?void?main(String[]?args){
?        new?Plane().s1();
?        System.out.println(s);
?    }
?    void?s1()?{
?        try?{s2();}catch?(Exception?e){
?        ?s?+=?""c"";?
?        }
?    }
?    void?s2()?throws?Exception?{
?        s3();?
?        s?+=?""2"";
?        s3();
?        s?+=?""2b"";
?    }
?    void?s3()?throws?Exception{
?          throw?new?Exception();
}  
?} 结果是什么?",Java异常处理,-,-c,#VALUE!,-2c,B,0
144,"?下列程序的执行，说法正确的是（ ）
class MultiCatch
?{
?     public static void main(String args[])
?    {
?        try
?        {
?              int a=args.length;
?              int b=42/a;
?              int c[]={1};
?              c[42]=99;  //10行
?              System.out.println(“b=”+b);
?            }
?        catch(ArithmeticException e)
?        {
?                System.out.println(“除0异常：”+e);  //15行
?        }
?        catch(ArrayIndexOutOfBoundsException e)
?        {
?                System.out.println(“数组超越边界异常：”+e); //19行
?            }
?         }    
?      }",Java异常处理,程序将输出第15行的异常信息,程序第10行出错,程序将输出“b=42”,程序将输出第19行的异常信息,A,0
145,"?下面是一些异常类的层次关系：
?java.lang.Exception
?java.lang.RuntimeException
?java.lang.IndexOutOfBoundsException
?java.lang.ArrayIndexOutOfBoundsException
?java.lang.StringIndexOutOfBoundsException
?假设有一个方法X，能够抛出两个异常，Array Index和String Index异常，假定方法X中没有try-catch语句处理这些异常，下面哪个答案是正确的？（   ）",Java异常分类,方法X 应该声明抛弃ArrayIndexOutOfBoundsException和StringIndexOutOfBounds-Exception。,如果调用X的方法捕获IndexOutOfBoundsException，则ArrayIndexOutOfBoundsException和StringIndexOutOfBoundsException都可以被捕获。,如果方法X声明抛弃IndexOutOfBoundsException，则调用X的方法必须用try-catch语句捕获。,方法X不能声明抛弃异常。,A,0
146,?请问所有的异常(Exception)和错误(Error)类皆继承哪一个类？（    ）,Java异常分类,java.lang.Throwable,java.lang.Exception,java.lang.Error,java.io.Exception,A,0
147,"给定: 
// some code here 
 try { 
// some code here
// some code here 
} catch (SomeException se) { 
// some code here ?
// some code here
} finally { 
 // some code here 
 // some code here
 } 
?如下哪些情况出现时第39行中代码不会被执行?",Java异常处理,第31行代码抛出异常,第34行代码抛出异常,第37行代码抛出异常,第40行代码抛出异常,A,0
148,在 Java 中，如何定义一个自定义异常类 MyException？,自定义异常,"public class MyException extends Exception {
    public MyException(String message) {
        super(message);
    }
}
","public class MyException {
    public MyException(String message) {
        super(message);
    }
}
","public class MyException extends Error {
    public MyException(String message) {
        super(message);
    }
}
","public class MyException extends Throwable {
    public MyException(String message) {
        super(message);
    }
}
",A,0
150,在 Java 中，如何声明一个包含 10 个整数的数组？,数组,int[] arr = new int[10];,int arr = new int[10];,int[10] arr = new int[];,int arr[] = new int[];,A,0
